Extrspeed_2,Extrtemp_2,Extrtempbarr_2_1,Extrtempbarr_2_2,Extrpressure_2_1,Extrpressure_2_2,Extrtempstock_2,PLCtime
24.19708,64.96536,48.03582,60.90481,48.56047,58.17419,114.4,2004/10/23 10:46
24.20135,64.90121,51.13626,60.81369,48.96195,57.94994,112.9,2004/10/23 10:45
24.19922,64.86578,51.004,59.03442,48.66537,58.82885,115.1,2004/10/23 10:44
24.19922,64.80968,48.81695,60.71265,48.82813,58.11632,115.2,2004/10/23 10:43
24.19708,64.7816,49.35088,60.83146,48.19878,57.92824,113.1,2004/10/23 10:42
24.19281,64.74168,51.54004,59.0687,48.36878,56.96976,113.9,2004/10/23 10:41
24.19708,64.70628,50.06755,60.62684,48.36878,57.76548,115.1,2004/10/23 10:40
24.19708,64.67246,47.93562,60.82467,49.03067,58.52142,112.8,2004/10/23 10:39
24.19922,64.65176,51.25858,59.06784,48.74855,58.32972,114.7,2004/10/23 10:38
24.19922,64.62962,50.93055,60.64668,48.42303,58.53588,115.6,2004/10/23 10:37
24.19922,64.58398,48.67421,60.8085,48.99088,58.44184,113.4,2004/10/23 10:36
24.19922,64.51762,49.39902,59.10709,48.51707,58.39844,113.8,2004/10/23 10:35
24.19922,64.47987,51.54617,60.44798,48.98003,57.93186,115.2,2004/10/23 10:34
24.19708,64.40845,50.02778,60.88755,48.62558,58.55396,113.3,2004/10/23 10:33
24.19495,64.31195,47.93712,59.03668,48.57494,57.30975,113.9,2004/10/23 10:32
24.19922,64.24535,51.28101,60.33631,48.19155,57.98249,115.8,2004/10/23 10:31
24.19708,64.14166,50.95712,60.91266,48.81366,57.73293,113.4,2004/10/23 10:30
24.19922,64.0633,48.71588,59.12038,48.68707,58.08738,113.6,2004/10/23 10:29
24.19708,63.96255,49.30177,60.14658,48.58579,58.3261,115.4,2004/10/23 10:28
24.19708,63.90308,51.56416,60.91881,48.68707,58.35865,113.2,2004/10/23 10:27
24.20135,63.79676,50.14818,59.2594,48.55686,58.81438,113.7,2004/10/23 10:26
24.19922,63.70045,47.94156,59.99319,48.59665,57.75825,115.1,2004/10/23 10:25
24.19495,63.6343,51.2014,60.83028,48.57494,58.6697,113.1,2004/10/23 10:24
24.19495,63.56575,50.98502,59.33374,48.57494,57.39655,112.8,2004/10/23 10:23
24.19281,63.49206,48.80465,59.83899,48.83536,59.28819,114.6,2004/10/23 10:22
24.19495,63.42581,49.5118,60.83802,49.01982,58.83609,111,2004/10/23 10:21
22.00104,63.42879,51.46896,59.42415,47.1752,57.36039,112,2004/10/23 10:20
21.9989,63.39309,49.92851,59.63963,46.77011,56.88657,112.8,2004/10/23 10:19
21.9989,63.33198,48.05175,60.87884,46.87138,56.62254,112.7,2004/10/23 10:18
21.9989,63.25563,51.22353,59.51455,47.05223,56.70934,111.1,2004/10/23 10:17
21.99677,63.21219,50.8975,59.38195,46.70139,56.12702,110.4,2004/10/23 10:16
21.9989,63.12917,48.79626,60.89492,46.9184,55.80512,110.4,2004/10/23 10:15
21.99677,63.01542,49.47479,59.77787,46.875,55.98235,110.3,2004/10/23 10:14
22.00104,62.96696,51.46771,59.02947,47.09563,57.18678,110.2,2004/10/23 10:13
21.9989,62.86896,50.04842,60.91946,46.78458,56.66233,110.5,2004/10/23 10:12
22.00104,62.82837,47.98909,59.90381,46.36863,56.01128,111.1,2004/10/23 10:11
21.9989,62.75751,51.25216,58.8288,46.91479,56.2283,112,2004/10/23 10:10
22.00317,62.71282,50.89178,60.96415,47.09201,56.41637,112.4,2004/10/23 10:09
22.00104,62.66674,48.77954,59.9675,47.13541,56.26085,112.6,2004/10/23 10:08
22.00104,62.62291,49.45201,58.68785,46.28183,55.51215,111.7,2004/10/23 10:07
21.99463,62.62292,51.42732,61.04782,46.21311,55.64598,109.8,2004/10/23 10:06
22.00104,62.59829,49.96196,59.98182,46.6182,56.50318,110,2004/10/23 10:05
21.9989,62.5914,48.06329,58.55363,45.88397,55.40726,111.8,2004/10/23 10:04
21.99677,62.58496,51.3552,61.08053,46.49161,56.19937,111.9,2004/10/23 10:03
22.00531,62.54921,50.80907,59.95278,46.31076,54.94068,109.7,2004/10/23 10:02
22.00317,62.5148,48.61126,58.58185,46.55671,55.4145,110.8,2004/10/23 10:01
21.99677,62.45145,49.61061,61.01978,45.63079,54.26794,111.9,2004/10/23 10:00
22.00531,62.38145,51.46052,60.05904,46.30353,56.45255,111.4,2004/10/23 9:59
21.99677,62.33924,49.88079,58.50093,45.97801,55.78342,109.7,2004/10/23 9:58
21.99677,62.2635,48.09036,60.96299,46.09013,55.71832,110.7,2004/10/23 9:57
21.9989,62.16736,51.37569,60.19084,46.10822,55.19748,112.3,2004/10/23 9:56
22.00531,62.09431,50.86225,58.45173,46.07566,55.09621,111.5,2004/10/23 9:55
22.00104,62.01654,48.66822,60.97022,46.48076,55.53024,109.8,2004/10/23 9:54
21.9989,61.92226,49.55964,60.16707,46.00333,55.00941,110.4,2004/10/23 9:53
22.00104,61.85831,51.47995,58.33157,46.51331,56.34042,111.5,2004/10/23 9:52
21.9989,61.75978,49.95186,60.97093,45.89844,55.83405,111.2,2004/10/23 9:51
22.00531,61.67802,48.10021,60.2635,46.1263,55.9715,109.6,2004/10/23 9:50
22.00104,61.58018,51.31353,58.28258,45.95269,55.58811,110.3,2004/10/23 9:49
22.00531,61.49792,50.81508,61.01807,45.97078,54.86835,111.9,2004/10/23 9:48
21.9989,61.43217,48.60766,60.27187,46.318,55.06366,112.5,2004/10/23 9:47
21.9989,61.32734,49.63463,58.20544,46.06482,54.61155,110.7,2004/10/23 9:46
21.99677,61.22896,51.43184,61.01892,46.15162,55.88831,109.5,2004/10/23 9:45
21.99463,61.11129,49.86396,60.36947,46.1697,56.14511,109.1,
21.99677,60.9633,48.15537,58.47061,46.69416,56.43446,112,
22.00317,60.82103,51.40165,61.02089,46.95457,56.57914,112.6,
22.00104,60.6644,50.72445,60.4961,45.41016,54.39091,110.8,
21.9989,60.48735,48.47099,58.63246,46.0612,54.78877,110.6,
22.00104,60.33068,50.02509,61.00527,46.41927,55.46151,110.5,
22.00531,60.18811,51.3834,60.59841,45.48611,54.68388,109,
21.99249,60.05271,49.49939,58.98512,46.35416,56.48872,109.6,
21.99463,59.95969,48.64451,60.76624,46.51331,56.97338,109.4,
22.00104,59.96649,51.3729,60.59239,46.61459,56.69488,105.5,
15.9491,59.99303,50.65596,59.29546,43.05194,51.94589,104.9,
15.94696,60.00404,48.33411,60.00818,43.71021,52.32566,103.2,
15.9491,60.02674,50.23115,60.71174,43.35938,52.43779,102.6,
15.9491,60.06024,51.24474,59.76656,43.47512,52.45949,104.3,
15.9491,60.07286,49.45584,59.1955,43.58724,52.31481,105.1,
15.9491,60.10255,48.66009,60.79918,44.15509,53.46137,103.5,
15.9491,60.12263,51.31862,60.11694,44.01765,53.04181,103.3,
15.94696,60.09616,50.64627,58.49325,43.6632,52.20269,106.4,
15.94696,60.0927,48.24047,60.82215,44.20573,53.66031,105.7,
15.9491,60.03686,50.4199,60.3225,43.88021,52.7597,104.2,
15.94482,60.00912,51.18122,58.6768,44.5204,54.23177,103.3,
15.94696,59.94193,49.41429,60.75512,44.41189,53.97136,104.8,
15.95123,59.89568,48.82507,60.50389,45.09187,54.51751,106.6,
15.94696,59.86869,51.2576,59.30748,45.00506,55.14323,106.6,
15.9491,59.8973,50.55833,60.45814,46.02141,56.25362,103.9,
13.04596,59.98151,48.49126,60.58886,44.25637,53.59882,100.3,
13.0481,60.08339,50.26693,59.65663,44.10807,54.02561,99.00001,
13.05023,60.21772,51.10011,59.37395,44.19488,54.17028,97.9,
8.700867,60.38849,49.6588,60.66413,40.24161,48.03964,97.5,
8.69873,60.47686,48.11156,60.10635,40.0463,46.5531,100.5,
15.95123,60.46825,51.24472,58.392,45.38122,54.71282,104.7,
15.95337,60.45917,50.81873,60.86589,45.52228,54.63687,105.4,
15.94696,60.47557,48.75337,60.37318,46.13354,55.63512,108,
15.95123,60.46149,49.64125,58.63758,44.66507,53.66753,106.5,
15.9491,60.44805,51.30233,60.90458,44.81337,53.83753,105.3,
15.9491,60.44046,50.00965,60.58005,45.21123,54.50304,104.4,
15.9491,60.42614,48.24449,58.97028,45.14974,54.59346,104.7,
15.94482,60.41004,51.20094,60.78136,45.09549,54.04007,106.7,
15.9491,60.37431,50.81727,60.6434,44.93996,54.14859,107.1,
15.94696,60.33028,48.87701,59.25089,45.2474,54.44878,106,
15.95123,60.27587,49.49103,60.23497,44.97251,54.23901,104.8,
15.95123,60.2347,51.33076,60.69955,45.5476,55.12876,104,
15.9491,60.18933,50.24125,59.66306,45.24016,54.31496,104.5,
15.9491,60.15545,48.13591,59.37383,45.31612,54.61155,105.6,
15.94696,60.16054,50.95298,60.72255,45.16059,54.72005,106,
14.50287,60.17576,51.02411,60.09771,44.40104,53.44691,103.5,
14.50287,60.21262,49.14913,58.72851,44.45168,53.75072,102.6,
14.50073,60.28106,49.17233,60.71367,44.64338,54.16305,103.2,
14.50073,60.33591,51.2952,60.3768,44.84592,55.29514,102.3,
13.77441,60.33177,50.491,59.17532,44.15509,53.95327,100.9,
13.77228,60.35781,48.08665,60.59099,44.09722,53.00202,102.5,
13.77655,60.33334,50.6239,60.49517,43.75362,53.39265,103.8,
13.77014,60.24097,51.17583,59.52583,43.72468,53.02734,100.9,
13.77869,60.15002,49.26994,59.66533,44.18403,53.27329,101.4,
13.77014,60.03716,48.84776,60.55726,43.17853,53.00202,102.9,
13.77014,59.91076,51.24994,60.03014,44.56018,53.82306,101.8,
13.77228,59.74681,50.58953,58.79317,43.82595,53.12138,100.1,
13.77228,59.68198,48.32365,60.67656,44.73018,55.42896,100.9,
13.77014,59.65771,50.37107,60.38071,43.85489,52.80309,100.8,
12.32391,59.65067,51.1201,59.42317,43.22916,51.94589,100.9,
12.32391,59.7176,49.42772,60.1772,43.49682,52.98756,100.6,
12.32605,59.79613,48.91919,60.54984,43.38108,53.5952,99.8,
12.32391,59.89176,51.17856,59.9372,43.01577,52.27503,99.00001,
12.32605,60.00683,50.51632,58.89972,43.2581,52.25694,98.2,
12.32605,60.13976,48.48793,60.63541,43.65596,53.41435,97.8,
12.32391,60.26775,50.42244,60.34668,43.56554,53.61328,97.4,
12.32605,60.43353,50.999,59.30856,43.35576,51.97845,98.5,
12.32819,60.56544,49.43893,60.49216,43.61618,52.72714,100,
12.32605,60.71001,49.1539,60.45016,43.52213,53.7037,98.39999,
12.32819,60.80879,51.05922,59.7498,44.08276,54.20646,96.00001,
10.87341,60.84265,50.39654,59.364,42.35026,50.90061,96.60001,
10.87555,60.79634,48.54992,60.41105,43.0447,52.73799,95.3,
10.87341,60.65584,50.52436,60.20476,43.2364,53.35648,96.9,
10.87555,60.52867,50.79756,59.83839,43.71745,54.12688,93.60001,
10.87341,60.32351,49.72623,59.54336,44.15148,54.4307,93.8,
10.87555,60.14008,48.99393,60.29349,45.13889,55.80874,89.3,
8.395386,60.0002,50.67088,60.18156,45.00868,55.9715,87.3,
8.401794,59.87456,50.41445,60.07053,48.56771,61.31366,85,
7.000427,59.91558,49.68163,59.99661,49.09578,62.05874,80.2,
2.997131,60.05754,49.67509,60.00161,40.99392,50.67636,78.6,
2.999268,60.19436,50.34804,60.01189,43.08449,52.68735,77.1,
2.997131,60.29108,50.15406,59.99519,38.94676,48.90046,77.8,
2.999268,60.42841,49.9089,60.00962,39.17463,48.12283,76.5,
2.999268,60.61943,49.80241,60.01285,37.92318,46.45182,76.9,
0,60.93537,50.18444,60.00917,6.130642,0,79.5,
0,60.51015,50.27046,60.01193,6.119792,0,79.6,
0,59.23144,50.15136,59.9983,6.108941,0,79.6,
0,58.68367,49.50287,59.98318,6.119792,0,79.7,
0,58.9105,49.86942,60.03996,6.105324,0,79.7,
0,59.22768,50.36319,60.0068,6.094473,0,79.8,
0,59.58873,50.41071,59.90069,6.087239,0,79.8,
0,59.99337,49.49899,60.00832,6.087239,0,79.9,
0,60.38806,49.57284,60.15441,6.087239,0,79.9,
0,60.70229,50.68407,59.90163,6.116175,0,80,
0,60.87566,50.59682,59.63141,6.159577,0,80,
0,60.87295,48.83103,60.08135,6.293403,0,80.2,
-2.13623E-03,60.67953,49.06837,60.20568,6.738281,0.1157407,80.60001,
-6.408691E-02,60.3315,50.99319,60.09444,9.646268,8.64077,84.60001,
14.9942,59.95348,50.23634,59.99816,5.714699,0,77.4,
15.00061,60.02468,49.99398,60.01915,5.700232,0,77.1,
0,59.99317,49.99031,60.00529,5.67853,0,76.60001,
0,59.99007,50.00311,59.98609,5.649595,0,76.60001,
0,59.99723,49.9796,60.00837,5.62066,0,76.5,
0,60.01318,50.00792,59.9907,5.588108,0,76.4,
0,60.00034,49.99509,59.97277,5.548322,0,76.3,
0,60.02494,49.98385,59.99875,5.483218,0,76.2,
0,60.04134,50.00764,59.99194,5.407263,0,76.2,
0,59.97939,49.99971,60.02745,5.334925,0,76.9,
0,60.014,49.99998,59.99337,5.36386,0,76.1,
14.99847,60.04338,50.0062,59.99331,5.371094,0,75.4,
0,59.98805,50.00834,60.00135,5.378327,0,76,
0,59.95194,49.97173,60.00052,5.381944,0,76.1,
0,60.01058,50.02888,59.9871,5.389178,0,76.1,
0,60.04121,49.98874,60.00156,5.392795,0,75.9,
0,60.01373,49.99691,60.0113,5.396412,0,76,
0,59.97109,50.01009,59.97064,5.396412,0,76.1,
0,60.03981,50.00421,60.02448,5.389178,0,76.1,
0,60.02677,49.99577,59.99147,5.385561,0,76.1,
0,59.96891,49.99311,59.97787,5.381944,0,76,
0,59.97485,49.99967,60.01257,5.378327,0,76,
0,60.02052,49.98957,60.00585,5.374711,0,76.1,
0,60.00196,49.9864,59.99665,5.367477,0,76.1,
0,59.97514,49.99727,60.01055,5.360243,0,76.2,
0,60.04798,50.00313,60.01548,5.36386,0,76.1,
0,60.02385,49.99308,59.99186,5.36386,0,76.1,
0,59.98241,49.99743,59.99659,5.36386,0,75.9,
0,59.97552,50.01617,59.9808,5.36386,0,76.1,
0,60.01386,50.00589,59.98568,5.36386,0,76,
0,60.00278,49.99099,59.99593,5.367477,0,76.1,
0,59.97812,50.01642,60.00266,5.374711,0,76.1,
0,59.99682,49.99324,59.99342,5.367477,0,76,
0,60.01266,49.98238,60.00864,5.360243,0,75.9,
0,60.00115,50.01759,60.01236,5.356626,0,76,
0,59.97852,50.01046,60.00193,5.345776,0,76.1,
0,59.98964,49.99517,59.97604,5.345776,0,76,
0,59.99611,49.9975,59.99166,5.342159,0,76.1,
0,59.98914,49.99002,60.00546,5.342159,0,75.8,
0,59.98656,49.99178,59.98461,5.345776,0,75.7,
0,60.0126,49.99886,59.97273,5.353009,0,75.9,
0,59.97916,50.0076,59.99244,5.356626,0,76.1,
0,59.98985,50.01048,60.01849,5.360243,0,76.2,
0,60.00891,49.99588,59.99492,5.360243,0,76,
0,60.0094,50.01334,59.99211,5.360243,0,76,
0,59.99725,50.00289,60.00246,5.353009,0,76.1,
0,60.00343,49.99879,60.01427,5.345776,0,76,
0,60.01036,50.0196,59.9725,5.349392,0,76.1,
0,60.00043,50.00886,60.00282,5.338542,0,76.1,
0,59.97784,50.00021,60.01649,5.338542,0,76,
0,60.01529,50.01279,60.01752,5.331308,0,75.8,
0,59.99542,49.97857,59.98209,5.331308,0,76,
0,60.00637,50.00685,60.01864,5.327691,0,75.6,
0,60.01334,50.00308,59.98967,5.334925,0,75.9,
0,59.97701,49.99937,60.00801,5.327691,0,75.7,
0,60.02472,49.98195,60.01035,5.313223,0,76,
0,59.9787,50.01173,60.00294,5.309607,0,75.5,
0,59.9847,50.00827,59.99957,5.31684,0,76,
0,59.99495,50.00281,60.013,5.327691,0,75.6,
0,60.00503,49.99369,59.99757,5.334925,0,75.8,
0,60.03891,49.99784,60.01704,5.353009,0,75.7,
0,60.01558,50.00275,59.97043,5.349392,0,75.9,
0,59.97108,50.01428,59.99783,5.367477,0,75.9,
0,59.9901,49.9846,59.98538,5.385561,0,76.1,
0,60.02219,49.99387,60.01727,5.378327,0,76.1,
0,60.00382,50.0113,60.02432,5.374711,0,76.1,
0,59.99978,49.98716,59.97592,5.371094,0,76.1,
0,59.98452,50.00514,60.02137,5.371094,0,76.1,
0,59.99516,49.99905,59.99737,5.396412,0,76.1,
0,60.00132,49.9958,60.01731,5.400029,0,76.1,
0,60.01978,50.00792,59.9922,5.396412,0,76.1,
0,59.98843,49.98834,59.98413,5.381944,0,76.1,
0,60.01065,49.98962,59.99388,5.374711,0,76,
0,60.00209,49.9902,60.01094,5.360243,0,75.9,
0,60.00397,50.00784,59.96676,5.342159,0,76.1,
0,59.99781,49.99451,59.99615,5.349392,0,76,
0,60.0065,49.99136,60.03372,5.381944,0,76,
0,60.01306,49.99947,60.00845,5.392795,0,76.1,
0,59.96547,49.99411,59.97747,5.385561,0,75.9,
0,60.00771,49.99015,59.98922,5.374711,0,76.1,
0,59.98199,49.99966,59.98356,5.360243,0,76,
0,60.00827,50.00244,59.98812,5.356626,0,76,
0,60.0134,50.00292,59.99471,5.345776,0,76,
0,59.98547,50.0049,59.99255,5.331308,0,75.8,
0,60.00647,49.98897,60.00254,5.31684,0,75.7,
0,60.01447,50.00097,60.00198,5.31684,0,75.9,
0,59.99073,49.99764,59.98256,5.331308,0,75.9,
0,60.00806,49.99429,60.00843,5.331308,0,75.5,
0,60.02767,50.00512,60.0118,5.342159,0,75.7,
15.00061,60.00956,50.00136,59.9965,5.360243,0,75.9,
14.99847,60.01787,50.00097,60.00492,5.360243,0,75.6,
14.99847,59.98204,49.99405,60.01156,5.381944,0,75.8,
15.00061,60.02607,49.99265,59.98118,5.403646,0,75.8,
15.00061,59.98498,50.03363,60.00224,5.425347,0,76,
0,60.01168,49.99023,60.00519,5.428964,0,76,
0,59.99601,49.98772,59.99987,5.418113,0,75.8,
0,60.01181,50.00029,60.00241,5.436198,0,75.9,
0,59.99783,50.00558,60.00146,5.439815,0,76,
0,59.97667,49.99575,60.01772,5.447049,0,76,
0,59.98097,49.99763,59.99409,5.447049,0,75.9,
0,59.99637,50.00178,59.99761,5.450665,0,76,
0,60.01043,50.0012,60.00768,5.447049,0,76,
0,60.00611,49.98405,59.99396,5.450665,0,75.9,
0,60.00092,50.00945,59.97938,5.46875,0,75.8,
0,60.02283,49.99258,59.97374,5.4796,0,75.9,
0,60.00644,50.00219,59.99765,5.4796,0,75.9,
0,59.98178,49.99998,60.00203,5.472367,0,76,
0,60.00605,49.99888,60.0046,5.46875,0,76,
0,60.00174,50.00833,60.02262,5.472367,0,75.9,
0,59.98241,49.99585,59.98159,5.4796,0,76,
0,60.02388,50.00021,59.99149,5.494068,0,76,
0,60.02248,49.99209,60.01219,5.497685,0,76,
0,60.02214,49.99897,60.016,5.497685,0,76,
0,60.00452,49.99721,59.9897,5.501302,0,76,
0,59.99129,49.97852,60.00662,5.508536,0,76.1,
0,59.99182,50.00162,60.00915,5.504919,0,76,
0,60.01091,50.00531,59.99085,5.508536,0,76,
0,60.01286,49.9847,60.03848,5.515769,0,76.1,
0,59.96378,49.99107,60.0028,5.512153,0,75.8,
0,60.01301,49.99396,59.99458,5.504919,0,76.1,
0,60.00169,49.98999,60.00507,5.508536,0,76,
0,59.98999,50.02059,60.02929,5.512153,0,76,
0,59.98001,50.00164,59.97605,5.519387,0,75.9,
0,60.02557,49.99237,59.99965,5.52662,0,75.9,
0,60.01166,50.00451,60.00729,5.523004,0,76,
0,59.97558,50.03067,59.98506,5.519387,0,76,
0,60.01142,49.98644,59.9952,5.523004,0,76.1,
0,60.00021,49.99915,59.97966,5.533854,0,76.1,
0,59.98033,50.00476,60.00817,5.544705,0,76,
0,59.94973,49.97166,60.01516,5.541088,0,75.9,
0,60.01456,50.00273,59.99547,5.541088,0,76.1,
0,60.01692,49.99337,59.99675,5.548322,0,76,
0,59.9783,49.99466,60.01749,5.551939,0,76,
0,60.01242,50.00909,60.00668,5.555556,0,76,
0,60.03199,50.01819,60.01355,5.559173,0,76,
0,60.00544,50.01205,59.97546,5.555556,0,76,
0,59.99268,49.99775,59.99289,5.562789,0,76.1,
0,60.02774,50.01775,59.99141,5.57364,0,76,
0,60.0197,49.99868,59.97468,5.577257,0,76.2,
0,59.99411,49.99537,60.02806,5.584491,0,76.1,
0,60.02629,50.01441,60.00457,5.595341,0,76,
0,60.02284,49.98466,60.01531,5.595341,0,76.1,
0,59.95426,50.00399,59.99706,5.595341,0,76.1,
0,59.96752,50.00672,60.0191,5.598958,0,76.2,
0,60.03972,49.99542,59.98692,5.609809,0,76.1,
0,60.04016,50.00462,60.01814,5.613426,0,76.1,
0,59.99006,50.00478,60.01377,5.613426,0,75.9,
0,60.02149,50.00519,59.99481,5.617043,0,76.2,
0,59.99063,50.00371,60.00118,5.62066,0,76.2,
0,59.99514,50.01262,60.01196,5.624277,0,76.1,
0,60.01563,49.98771,59.99065,5.624277,0,76.2,
0,60.00385,50.0187,60.00788,5.617043,0,75.9,
0,60.02676,49.99993,59.9929,5.613426,0,76.2,
0,60.02584,50.00461,60.0077,5.613426,0,76.2,
0,60.00891,49.99466,59.99458,5.613426,0,76.1,
0,60.02767,49.9994,60.00266,5.624277,0,76.1,
0,59.96975,50.00944,60.01208,5.631511,0,76.1,
0,59.9755,50.0021,59.98293,5.631511,0,76.1,
0,60.02874,50.00571,60.03573,5.62066,0,76.1,
0,60.0322,49.99538,59.9875,5.624277,0,76.1,
0,59.9601,50.01307,60.01099,5.624277,0,76.1,
0,59.98968,49.99224,59.9839,5.635128,0,76.2,
0,60.02479,49.98381,60.00032,5.635128,0,76.1,
0,60.00153,50.01332,60.00739,5.631511,0,76.2,
0,59.98323,50.01078,60.02103,5.627893,0,76.1,
0,59.99396,49.99044,60.02467,5.631511,0,76.1,
0,59.95279,50.00645,60.01769,5.638744,0,76,
0,59.98354,50.00241,59.99835,5.645978,0,76.1,
0,59.99323,50.0127,59.99138,5.656829,0,76.1,
0,59.99299,50.0097,59.99091,5.664063,0,76.2,
0,60.01501,49.98942,60.01031,5.667679,0,76.3,
0,59.99929,49.98737,59.99718,5.667679,0,76.3,
0,59.97456,50.0164,59.9936,5.671296,0,76.3,
0,59.99123,49.995,59.99195,5.667679,0,76.1,
0,59.99496,50.00951,59.99111,5.660446,0,76.2,
0,59.99356,49.98554,60.00149,5.667679,0,76.2,
0,59.98398,50.012,59.97006,5.674913,0,76.3,
0,60.00657,50.00287,60.0156,5.674913,0,76.3,
0,60.00413,49.9883,59.99165,5.67853,0,76.2,
0,60.00678,50.00776,59.97963,5.667679,0,76.1,
0,59.98825,49.99492,60.03176,5.667679,0,76.3,
0,59.99831,49.98705,59.99004,5.671296,0,76.3,
0,59.98843,49.99723,60.00494,5.674913,0,76.3,
0,59.99142,49.99476,60.00775,5.685764,0,76.2,
0,59.98896,50.00728,60.03051,5.685764,0,76.1,
0,59.9553,50.01407,60.00464,5.682147,0,76.3,
0,60.03109,49.98757,59.99384,5.67853,0,76.3,
0,60.05756,50.00017,59.98733,5.685764,0,76.3,
0,60.00822,50.00509,59.99046,5.689381,0,76.3,
0,60.01478,49.98795,60.00069,5.689381,0,76.2,
0,60.02169,49.99676,59.98084,5.682147,0,76.2,
0,59.99257,50.01178,59.99401,5.685764,0,76.3,
0,59.989,49.99738,60.00391,5.692997,0,76.4,
0,59.98238,49.99636,60.00207,5.700232,0,76.3,
0,60.0093,50.00146,59.98779,5.700232,0,76.3,
0,59.97056,49.99301,60.01696,5.696614,0,76.2,
0,59.98716,49.99611,59.99181,5.696614,0,76.3,
0,60.00291,50.00346,59.98765,5.703848,0,76.3,
0,60.0118,50.00229,60.00561,5.707465,0,76.3,
0,59.98699,49.99884,60.02097,5.718316,0,76.3,
0,59.97354,49.98931,60.00806,5.72555,0,76.2,
0,60.0105,50.01947,60.00864,5.72555,0,76.2,
0,59.99316,49.9768,60.01523,5.729167,0,76.3,
0,59.97805,50.00417,59.98218,5.732784,0,76.4,
0,59.99172,50.00539,59.97885,5.740017,0,76.3,
0,60.00459,49.99989,60.01637,5.747251,0,76.4,
0,60.00253,50.00875,60.0021,5.754485,0,76.3,
0,60.00251,50.00095,59.99834,5.750868,0,76.4,
0,60.00306,50.00038,60.01609,5.758102,0,76.4,
0,60.00852,50.00354,59.99229,5.761719,0,76.4,
0,60.00943,49.99662,59.99604,5.772569,0,76.5,
0,59.98129,49.99894,60.00238,5.776186,0,76.4,
0,59.98801,50.00686,60.01082,5.776186,0,76.5,
0,60.00398,49.98472,60.00732,5.78342,0,76.5,
0,60.00018,49.98993,59.98751,5.790654,0,76.5,
0,60.01276,49.99372,60.05104,5.801505,0,76.60001,
0,59.99112,50.00656,59.99803,5.801505,0,76.4,
0,60.00888,50.00272,59.98594,5.790654,0,76.5,
0,60.0049,49.98909,59.9943,5.797888,0,76.5,
0,59.97627,50.00516,60.02704,5.805121,0,76.5,
0,59.993,50.01155,59.98885,5.815972,0,76.60001,
0,60.03144,49.9778,59.98862,5.83044,0,76.5,
0,59.98574,50.02088,59.98778,5.83044,0,76.5,
0,59.97289,50.00054,60.0084,5.826823,0,76.7,
0,59.9894,50.01078,60.02572,5.834057,0,76.60001,
0,60.00524,50.01144,59.98689,5.837674,0,76.7,
0,59.99498,49.99385,60.03334,5.844907,0,76.60001,
0,60.00148,49.99751,60.01439,5.844907,0,76.60001,
0,59.99502,50.01007,59.99717,5.844907,0,76.7,
0,59.99304,49.99834,60.00172,5.844907,0,76.8,
0,59.98357,50.00365,59.99655,5.855758,0,76.8,
0,60.01389,50.00099,60.00413,5.866609,0,76.8,
0,59.99794,50.00447,60.01353,5.866609,0,76.7,
0,60.00679,49.99907,60.01243,5.862992,0,76.8,
0,60.00018,50.00615,59.99894,5.870225,0,76.9,
