Linespeed,Extrspeed_1,Extrtemp_1,Extrtempbarr_1_1,Extrpressure_1_1,Extrpressure_1_2,Extrtempstock_1,PLCtime
20.02588,5.939789,69.91276,43.62711,19.16233,42.86386,84.5,
20.05878,5.937744,70.06055,45.22978,19.14424,44.04116,84.4,
19.93018,5.937744,70.08691,45.33549,19.29254,43.76266,84.3,
19.92719,5.937744,69.97309,43.7376,19.36487,43.69936,84.1,
19.87036,5.939789,69.89402,42.17724,19.40104,44.67412,83.8,
19.98102,5.939789,70.07342,45.53546,19.49146,43.57277,83.2,
19.4397,5.939789,70.06963,44.57015,19.34679,44.97794,82.5,
16.67926,4.858154,69.90857,41.3993,18.28704,42.10431,82.4,
16.28448,4.858154,69.94928,45.73746,18.2798,41.31944,82.3,
16.30841,4.858154,70.09446,45.24343,17.96513,42.07899,82.2,
11.35278,3.23877,70.04602,43.50082,16.05179,37.68627,82.8,
11.10754,3.23877,69.8965,42.75023,15.80946,36.45833,83.7,
19.87036,5.937744,69.983,45.47582,18.85851,42.20559,84.5,
19.87335,5.939789,70.10999,43.97054,18.80425,43.63607,84.3,
19.8255,5.937744,69.98192,41.69451,18.88383,42.61068,84.3,
19.55933,5.937744,69.84389,45.73365,18.81511,43.23098,84.3,
19.89728,5.937744,70.1367,44.824,18.71383,42.99045,84.3,
20.01093,5.937744,70.08025,41.59917,18.77532,42.16761,84.2,
19.67297,5.939789,69.87599,45.7796,18.87659,43.73734,84.1,
19.78064,5.939789,69.94783,45.22109,18.76447,42.21824,84.2,
19.78961,5.939789,70.15573,43.36617,18.77893,43.45884,84,
19.96307,5.937744,70.00265,45.73569,18.76808,43.06641,84,
19.79559,5.937744,69.84455,45.27145,18.85127,42.45877,83.9,
19.84644,5.939789,70.05652,43.73009,18.82595,43.73734,83.8,
19.74176,5.939789,70.12498,42.80994,18.98871,42.67397,83.7,
19.81354,5.939789,69.92636,45.46015,18.9634,44.05382,83.3,
19.87036,5.939789,69.87505,43.98514,18.95616,43.39554,83,
18.14771,5.399994,70.13971,41.61551,18.59447,42.19292,82.8,
17.89349,5.397949,70.06786,45.71161,18.50405,42.87652,82.7,
18.1507,5.397949,69.87899,44.94437,18.38831,42.80056,82.4,
18.20453,5.399994,69.93297,42.36956,18.50767,41.81315,82.3,
17.17871,5.128052,70.11269,45.68194,18.31959,41.45869,82.3,
17.22058,5.130096,70.03351,45.28,18.33044,41.80049,82.3,
17.42395,5.128052,69.88553,43.5839,18.26895,42.20559,82.2,
17.23254,5.130096,70.00793,42.69385,18.25448,42.69929,82.2,
17.16974,5.130096,70.09232,45.46902,18.28342,42.92715,82,
17.06207,5.130096,69.99626,44.34335,18.34129,42.88918,81.9,
17.00525,5.128052,69.90401,41.36694,18.41001,42.16761,81.7,
17.18768,5.130096,70.00159,45.74661,18.58362,42.09165,81.4,
17.13086,5.130096,70.07159,45.1371,18.40278,42.15495,81,
17.23254,5.128052,70.02111,43.33614,18.55469,42.99045,80.8,
15.32446,4.588257,69.94668,42.32138,17.96513,42.10431,80.7,
15.44409,4.590302,70.00143,45.49323,17.97237,42.47143,80.60001,
15.28857,4.590302,70.08096,44.59622,18.15321,42.43345,80.60001,
15.32147,4.588257,69.97909,42.88778,18.13151,41.29412,80.60001,
15.32446,4.590302,69.9456,45.57028,18.2364,41.62326,80.5,
15.29456,4.588257,70.02907,45.3172,18.29065,42.35749,80.4,
15.12109,4.590302,70.06732,44.24424,18.12789,42.77525,80.2,
15.24072,4.588257,69.96005,41.11438,18.23278,43.10439,80.1,
15.24072,4.588257,69.9465,45.53975,18.24364,42.35749,79.9,
15.35138,4.588257,70.06385,45.39867,18.29789,41.69922,79.7,
15.55475,4.590302,70.10796,43.51144,18.50767,42.56004,79.8,
13.49713,4.050507,69.95258,41.25823,18.13151,41.49667,79.5,
13.32965,4.048462,69.91339,45.59679,18.2581,42.80056,79.00001,
13.33563,4.050507,70.02676,45.03337,18.37023,43.64873,77.9,
11.85223,4.050507,70.07946,43.08088,18.64149,43.4082,77.4,
13.20404,4.048462,69.95153,41.72704,18.67043,43.05375,76.3,
16.03027,4.048462,69.90384,45.49467,18.54022,43.97787,75.2,
10.95203,3.240814,70.03031,44.96749,17.28877,42.10431,74.4,
10.91614,3.240814,70.1078,43.29185,16.63411,40.92701,73,
9.005066,2.698975,70.00297,40.89369,15.85648,38.77496,73.2,
3.51709,1.077545,69.89098,45.27775,11.07494,29.20464,73.60001,
4.357483,1.07959,69.96052,45.42429,11.11111,29.02742,73.8,
4.803101,1.07959,70.12707,44.13984,11.14728,28.91348,74.2,
4.749268,1.07959,70.04342,42.80922,11.23047,28.82487,74.4,
4.812073,1.07959,69.92712,44.94576,11.27026,28.74892,74.4,
4.794128,1.077545,69.91483,45.41315,11.31727,29.01476,74.4,
8.412903,2.099884,70.05712,44.86645,15.39714,38.33189,74.2,
8.40094,2.099884,70.11896,43.02288,15.36097,38.68634,74.3,
8.397949,2.099884,69.97746,41.26699,16.22902,38.85091,73.4,
8.374023,2.099884,69.87881,45.22381,15.72266,38.59773,76.2,
4.776184,1.899506,69.99777,45.31814,13.17636,34.00246,77.1,
0,0,70.12519,44.60532,0,0.1645689,77,
0,0,70.006,42.95244,0,0.4050926,76.9,
0,0,69.83932,41.04885,0,0.7468895,76.8,
0,0,70.05646,45.26376,0,1.215278,76.7,
0,0,70.10904,45.39136,0,2.06344,76.5,
0,-6.134033E-03,69.93729,43.93593,0,4.87377,76.1,
0,8.000824,69.85471,41.01208,0,0,75.6,
0,7.998779,70.10303,45.23073,0,0,76.8,
0,8.000824,70.11194,44.99837,0,0,76.7,
0,8.000824,69.87032,44.9602,0,0,76.60001,
0,0,69.91062,45.00775,0,0,76.3,
0,0,70.16231,45.09058,0,0,76.4,
0,0,70.0227,45.25217,0,0,76.3,
0,0,69.84886,44.84875,0,0,76.3,
0,0,69.99279,43.66591,0,0,76.3,
0,0,70.1452,40.77053,0,0,76.2,
0,0,69.96217,45.11177,0,0,76.1,
0,0,69.84336,45.31636,0,0,76,
0,0,70.10371,44.96401,0,0,76,
0,0,70.11131,43.4252,0,0,76,
0,0,69.89903,45.04084,0,0,76.3,
0,0,69.89313,45.03015,0,0,75.3,
0,0,70.14313,45.0214,0,0,74.5,
0,0,70.06779,45.01865,0,0,74.5,
0,0,69.82967,45.01373,0,0,74.5,
0,0,69.97712,44.97882,0,0,74.5,
0,0,70.15237,45.00383,0,0,74.5,
0,0,69.9552,44.98022,0,0,74.6,
0,0,69.86035,44.98044,0,0,74.5,
0,0,70.05846,44.98668,0,0,74.5,
0,0,70.12861,44.99374,0,0,74.5,
0,0,69.93037,45.0453,0,0,74.4,
0,0,69.86887,45.20073,0,0,74.5,
0,0,70.11209,45.07769,0,0,74.5,
0,0,70.08704,44.46062,0,0,74.4,
0,0,69.90121,45.02597,0,0,74.4,
0,0,69.91844,45.13376,0,0,74.5,
0,0,70.14014,45.31443,0,0,74.5,
0,0,70.05164,43.96854,0,0,74.5,
0,0,69.8257,42.76914,0,0,74.4,
0,0,70.01414,45.04809,0,0,74.5,
0,0,70.17955,45.0265,0,0,74.5,
0,0,69.93887,45.04365,0,0,74.5,
0,0,69.84949,45.03373,0,0,74.4,
0,0,70.14883,45.02528,0,0,74.4,
0,0,70.11589,45.01398,0,0,74.5,
0,0,69.87481,45.02087,0,0,74.6,
0,0,69.92613,45.00385,0,0,74.5,
0,0,70.15157,45.0434,0,0,74.5,
0,0,70.0172,45.0226,0,0,74.3,
0,0,69.82203,44.90727,0,0,74.5,
0,0,70.01421,44.93717,0,0,74.4,
0,0,70.14529,44.97017,0,0,74.5,
0,0,69.96753,45.09272,0,0,74.5,
0,0,69.81985,45.26678,0,0,74.5,
0,0,70.08047,44.62382,0,0,74.6,
0,0,70.1248,43.47878,0,0,74.4,
0,0,69.90696,40.67796,0,0,74.5,
0,0,69.89333,45.15034,0,0,74.5,
0,0,70.14201,45.32153,0,0,74.6,
0,0,70.0571,44.77618,0,0,74.5,
0,0,69.84927,44.99044,0,0,74.4,
0,0,69.97887,45.05647,0,0,74.3,
0,0,70.1755,45.24709,0,0,74.5,
0,0,69.96306,45.09877,0,0,74.6,
0,0,69.85249,44.14807,0,0,74.3,
0,0,70.08286,45.02792,0,0,74.5,
0,0,70.15318,45.1048,0,0,74.5,
0,0,69.88201,45.2552,0,0,74.5,
0,0,69.90939,44.90599,0,0,74.5,
0,0,70.11552,42.42447,0,0,74.5,
0,0,70.07651,45.02423,0,0,74.5,
0,0,69.85689,45.03369,0,0,74.5,
0,0,69.96838,45.05808,0,0,74.5,
0,0,70.15224,45.01714,0,0,74.5,
0,0,69.97084,45.02284,0,0,74.4,
0,0,69.83349,45.01695,0,0,74.5,
0,0,70.06329,45.01017,0,0,74.5,
0,0,70.13697,45.03215,0,0,74.5,
0,0,69.93294,45.03395,0,0,74.4,
0,0,69.87197,44.96535,0,0,74.5,
0,0,70.14497,44.92886,0,0,74.5,
0,0,70.0788,44.94249,0,0,74.5,
0,0,69.8602,44.9712,0,0,74.4,
0,0,69.95498,45.00237,0,0,74.2,
0,0,70.13653,45.20937,0,0,74.5,
0,0,70.03101,45.31094,0,0,74.7,
0,0,69.82799,44.15939,0,0,74.6,
0,0,70.04742,41.27811,0,0,74.5,
0,0,70.1438,45.07473,0,0,74.5,
0,0,69.95141,45.25857,0,0,74.6,
0,0,69.83837,45.31394,0,0,74.4,
0,0,70.10016,43.68471,0,0,74.6,
0,0,70.09887,45.00872,0,0,74.5,
0,0,69.88184,45.04249,0,0,74.6,
0,0,69.93563,45.04465,0,0,74.4,
0,0,70.14709,45.04142,0,0,74.5,
0,8.000824,70.03305,45.03557,0,0,74.5,
0,7.998779,69.82317,45.03664,0,0,74.6,
0,8.000824,70.00809,45.02473,0,0,74.5,
0,7.998779,70.15647,45.02393,0,0,74.4,
0,8.000824,69.94833,44.99878,0,0,74.5,
0,0,69.83561,44.89447,0,0,74.5,
0,0,70.09827,44.93328,0,0,74.3,
0,0,70.16025,45.01051,0,0,74.4,
0,0,69.91473,45.25241,0,0,74.7,
0,0,69.84034,45.12247,0,0,74.5,
0,0,70.122,43.89983,0,0,74.5,
0,0,70.09184,42.53664,0,0,74.5,
0,0,69.86754,42.39793,0,0,74.4,
0,0,69.91195,45.2401,0,0,74.5,
0,0,70.16235,45.31823,0,0,74.5,
0,0,70.05369,43.84138,0,0,74.5,
0,0,69.84214,45.06815,0,0,74.5,
0,0,69.95472,45.21006,0,0,74.5,
0,0,70.19117,45.28073,0,0,74.4,
0,0,69.95863,43.95237,0,0,74.6,
0,0,69.84956,41.4796,0,0,74.6,
0,0,70.11682,45.06321,0,0,74.6,
0,0,70.13605,45.04554,0,0,74.5,
0,0,69.87125,45.04518,0,0,74.6,
0,0,69.89441,45.02972,0,0,74.6,
0,0,70.18665,45.03644,0,0,74.6,
0,0,70.05409,45.00905,0,0,74.6,
0,0,69.83842,45.01646,0,0,74.6,
0,0,69.98949,45.03202,0,0,74.6,
0,0,70.17511,45.01979,0,0,74.6,
0,0,69.93076,44.93176,0,0,74.7,
0,0,69.86691,44.92177,0,0,74.5,
0,0,70.0826,44.96156,0,0,74.6,
0,0,70.12704,45.05751,0,0,74.6,
0,0,69.85886,45.28015,0,0,74.7,
0,0,69.92012,44.80197,0,0,74.5,
0,0,70.11023,43.77183,0,0,74.6,
0,0,70.0751,41.81635,0,0,74.5,
0,0,69.85307,45.13397,0,0,74.6,
0,0,69.96107,45.36763,0,0,74.5,
0,0,70.16025,44.84458,0,0,74.7,
0,0,69.97457,43.79818,0,0,74.6,
0,0,69.84302,44.93756,0,0,74.7,
0,0,70.07308,45.06013,0,0,74.5,
0,0,70.14009,45.03814,0,0,74.6,
0,0,69.86671,45.02916,0,0,74.6,
0,0,69.91695,45.02783,0,0,74.6,
0,0,70.15289,45.02278,0,0,74.6,
0,0,70.06104,45.03128,0,0,74.7,
0,0,69.82178,45.01921,0,0,74.6,
0,0,69.97903,45.03367,0,0,74.5,
0,0,70.17603,44.92311,0,0,74.7,
0,0,69.99249,44.93056,0,0,74.6,
0,0,69.83087,44.97275,0,0,74.6,
0,0,70.02551,45.08649,0,0,74.7,
0,0,70.154,45.24028,0,0,74.7,
0,0,69.91051,44.48843,0,0,74.5,
0,0,69.85564,42.85298,0,0,74.6,
0,0,70.12862,40.90975,0,0,74.6,
0,0,70.07434,45.18626,0,0,74.5,
0,0,69.87685,45.2128,0,0,74.6,
0,0,69.90081,44.8348,0,0,74.7,
0,0,70.17728,45.02456,0,0,74.7,
0,0,70.0383,45.17183,0,0,74.5,
0,0,69.85197,45.33372,0,0,74.7,
0,0,69.97343,44.27486,0,0,74.8,
0,0,70.18919,41.71638,0,0,74.6,
0,0,69.96565,45.10064,0,0,74.5,
0,0,69.83305,45.28565,0,0,74.6,
0,0,70.08636,44.95942,0,0,74.6,
0,0,70.13472,42.92203,0,0,74.7,
0,0,69.88065,45.03587,0,0,74.7,
0,0,69.87894,45.239,0,0,74.7,
0,0,70.17834,45.25188,0,0,74.7,
0,0,70.03824,44.07541,0,0,74.7,
0,0,69.8364,44.5707,0,0,74.6,
0,0,69.99699,45.06815,0,0,74.6,
0,0,70.16604,45.32278,0,0,74.7,
0,0,69.98118,44.68388,0,0,74.6,
0,0,69.83015,43.75053,0,0,74.7,
0,0,70.10307,44.82279,0,0,74.6,
0,0,70.12114,45.06885,0,0,74.6,
0,0,69.87806,45.0393,0,0,74.6,
0,0,69.89955,45.01236,0,0,74.5,
0,0,70.18795,45.01241,0,0,74.7,
0,0,70.02393,45.01042,0,0,74.6,
0,0,69.85177,45.00274,0,0,74.7,
0,0,69.96225,45.00278,0,0,74.6,
0,0,70.16479,44.9862,0,0,74.7,
0,0,69.97246,44.98142,0,0,74.5,
0,0,69.84249,44.976,0,0,74.6,
0,0,70.06596,44.96941,0,0,74.6,
0,0,70.14643,44.94555,0,0,74.6,
0,0,69.8774,44.98097,0,0,74.6,
0,0,69.91003,44.98885,0,0,74.5,
0,0,70.13674,45.04292,0,0,74.7,
0,0,70.07877,45.19479,0,0,74.8,
0,0,69.85761,45.28189,0,0,74.5,
0,0,69.93148,44.13686,0,0,74.8,
0,0,70.1397,41.11163,0,0,74.7,
0,0,69.98575,45.05868,0,0,74.7,
0,0,69.82083,45.0698,0,0,74.7,
0,0,70.04667,45.05138,0,0,74.7,
0,0,70.1512,45.02039,0,0,74.7,
0,0,69.93299,45.03392,0,0,74.6,
0,0,69.86779,45.01269,0,0,74.7,
0,0,70.12778,44.99652,0,0,74.7,
0,0,70.08942,44.95294,0,0,74.5,
0,0,69.8616,44.9615,0,0,74.6,
0,0,69.91367,44.94421,0,0,74.6,
0,0,70.19197,44.94868,0,0,74.7,
0,0,70.03368,44.94801,0,0,74.5,
0,0,69.81635,44.99031,0,0,74.5,
0,0,70.02788,45.07298,0,0,74.6,
0,0,70.14751,45.25861,0,0,74.6,
0,0,69.92755,44.88441,0,0,74.5,
0,0,69.82828,43.14259,0,0,74.6,
0,0,70.15885,42.10458,0,0,74.7,
0,0,70.0789,45.05518,0,0,74.5,
0,0,69.8578,45.04417,0,0,74.6,
0,0,69.90325,45.0452,0,0,74.6,
0,0,70.19531,45.01947,0,0,74.5,
0,0,70.03857,45.01414,0,0,74.6,
0,0,69.82957,45.01918,0,0,74.5,
0,0,70.00221,45.01063,0,0,74.5,
0,0,70.17146,44.9574,0,0,74.5,
0,0,69.94075,44.92377,0,0,74.6,
0,0,69.84883,44.94308,0,0,74.6,
0,0,70.11286,44.98941,0,0,74.5,
0,0,70.09914,45.10984,0,0,74.7,
0,0,69.90591,45.29401,0,0,74.7,
0,0,69.88986,44.36836,0,0,74.6,
0,0,70.18002,42.93116,0,0,74.5,
0,0,70.03011,42.83542,0,0,74.7,
0,0,69.8221,45.10544,0,0,74.6,
0,0,70.00494,45.22976,0,0,74.6,
0,0,70.18948,44.93842,0,0,74.6,
0,0,69.94154,42.97183,0,0,74.6,
0,0,69.86496,45.04157,0,0,74.6,
0,0,70.12505,45.05453,0,0,74.6,
0,0,70.08199,45.09336,0,0,74.6,
0,0,69.8597,45.10389,0,0,74.6,
0,0,69.91487,44.9617,0,0,74.6,
0,0,70.17344,45.04657,0,0,74.7,
0,0,70.03835,45.11008,0,0,74.5,
0,0,69.84875,45.28124,0,0,74.5,
0,0,69.97697,44.74613,0,0,74.6,
0,0,70.18425,43.09635,0,0,74.5,
0,0,69.99088,41.23592,0,0,74.7,
0,0,69.82711,45.11211,0,0,74.6,
0,0,70.10283,45.23365,0,0,74.6,
0,0,70.11058,45.23509,0,0,74.6,
0,0,69.88242,42.7277,0,0,74.6,
0,0,69.88241,45.04711,0,0,74.5,
0,0,70.16694,45.178,0,0,74.6,
0,0,70.03712,45.26111,0,0,74.6,
0,0,69.82628,44.07211,0,0,74.5,
0,0,70.01624,44.17125,0,0,74.6,
0,0,70.15066,45.1255,0,0,74.5,
0,0,69.97117,45.27911,0,0,74.7,
0,0,69.83466,44.58257,0,0,74.7,
0,0,70.11685,43.54554,0,0,74.6,
0,0,70.13576,44.90031,0,0,74.5,
0,0,69.91786,45.0472,0,0,74.6,
0,0,69.85029,45.05009,0,0,74.5,
0,0,70.16805,45.04206,0,0,74.6,
0,0,70.05925,45.02355,0,0,74.5,
0,0,69.84513,45.03402,0,0,74.5,
0,0,69.98232,45.04321,0,0,74.6,
0,0,70.15939,45.00029,0,0,74.6,
0,0,69.97308,44.93675,0,0,74.4,
0,0,69.84428,44.9228,0,0,74.5,
0,0,70.03914,44.96734,0,0,74.5,
0,0,70.13654,45.03094,0,0,74.6,
0,0,69.90003,45.2718,0,0,74.6,
0,0,69.87506,45.17799,0,0,74.5,
0,0,70.12212,43.91463,0,0,74.5,
0,0,70.05414,42.81456,0,0,74.6,
0,0,69.8447,44.84491,0,0,74.6,
0,0,69.96138,45.22403,0,0,74.6,
0,0,70.16036,45.40419,0,0,74.5,
0,0,69.93326,44.10453,0,0,74.6,
0,0,69.86325,41.77115,0,0,74.6,
0,0,70.08632,45.05343,0,0,74.6,
0,0,70.1517,45.04866,0,0,74.5,
0,0,69.89284,45.04492,0,0,74.5,
0,0,69.83959,45.04886,0,0,74.5,
0,0,70.15119,45.08803,0,0,74.6,
0,0,70.08298,45.00411,0,0,74.6,
0,0,69.82925,44.64444,0,0,74.5,
0,0,69.96886,45.00985,0,0,74.5,
0,0,70.17711,45.08115,0,0,74.7,
0,0,69.97446,45.29325,0,0,74.6,
0,0,69.83639,44.96371,0,0,74.6,
0,0,70.0359,43.3459,0,0,74.6,
0,0,70.14227,41.50611,0,0,74.6,
0,0,69.9119,45.10433,0,0,74.6,
0,0,69.84805,45.15633,0,0,74.5,
0,0,70.10355,45.17884,0,0,74.6,
0,0,70.08972,44.51717,0,0,74.7,
0,0,69.88233,44.9961,0,0,74.7,
0,0,69.9201,45.00455,0,0,74.6,
0,0,70.17279,44.99659,0,0,74.6,
0,0,70.01653,45.00258,0,0,74.5,
0,0,69.80727,45.02631,0,0,74.7,
